id_credencial,registro,contrasena,rol,id_persona
1,2233445501,clave001,Administrador,1
2,2233445502,clave002,Administrador,2
3,2233445503,clave003,Administrador,3
4,2233445504,clave004,Administrador,4
5,2233445505,clave005,Administrador,5
6,2233445506,clave006,PersonalAdministrativo,6
7,2233445507,clave007,PersonalAdministrativo,7
8,2233445508,clave008,PersonalAdministrativo,8
9,2233445509,clave009,PersonalAdministrativo,9
10,2233445510,clave010,PersonalAdministrativo,10
11,2233445511,clave011,PersonalAdministrativo,11
12,2233445512,clave012,PersonalAdministrativo,12
13,2233445513,clave013,PersonalAdministrativo,13
14,2233445514,clave014,PersonalAdministrativo,14
15,2233445515,clave015,PersonalAdministrativo,15
16,2233445516,clave016,PersonalAdministrativo,16
17,2233445517,clave017,PersonalAdministrativo,17
18,2233445518,clave018,PersonalAdministrativo,18
19,2233445519,clave019,PersonalAdministrativo,19
20,2233445520,clave020,PersonalAdministrativo,20
21,2233445521,clave021,Docente,21
22,2233445522,clave022,Docente,22
23,2233445523,clave023,Docente,23
24,2233445524,clave024,Docente,24
25,2233445525,clave025,Docente,25
26,2233445526,clave026,Docente,26
27,2233445527,clave027,Docente,27
28,2233445528,clave028,Docente,28
29,2233445529,clave029,Docente,29
30,2233445530,clave030,Docente,30
31,2233445531,clave031,Docente,31
32,2233445532,clave032,Docente,32
33,2233445533,clave033,Docente,33
34,2233445534,clave034,Docente,34
35,2233445535,clave035,Docente,35
36,2233445536,clave036,Docente,36
37,2233445537,clave037,Docente,37
38,2233445538,clave038,Docente,38
39,2233445539,clave039,Docente,39
40,2233445540,clave040,Docente,40
41,2233445541,clave041,Postulante,41
42,2233445542,clave042,Postulante,42
43,2233445543,clave043,Postulante,43
44,2233445544,clave044,Postulante,44
45,2233445545,clave045,Postulante,45
46,2233445546,clave046,Postulante,46
47,2233445547,clave047,Postulante,47
48,2233445548,clave048,Postulante,48
49,2233445549,clave049,Postulante,49
50,2233445550,clave050,Postulante,50
51,2233445551,clave051,Postulante,51
52,2233445552,clave052,Postulante,52
53,2233445553,clave053,Postulante,53
54,2233445554,clave054,Postulante,54
55,2233445555,clave055,Postulante,55
56,2233445556,clave056,Postulante,56
57,2233445557,clave057,Postulante,57
58,2233445558,clave058,Postulante,58
59,2233445559,clave059,Postulante,59
60,2233445560,clave060,Postulante,60
61,2233445561,clave061,Postulante,61
62,2233445562,clave062,Postulante,62
63,2233445563,clave063,Postulante,63
64,2233445564,clave064,Postulante,64
65,2233445565,clave065,Postulante,65
66,2233445566,clave066,Postulante,66
67,2233445567,clave067,Postulante,67
68,2233445568,clave068,Postulante,68
69,2233445569,clave069,Postulante,69
70,2233445570,clave070,Postulante,70
71,2233445571,clave071,Postulante,71
72,2233445572,clave072,Postulante,72
73,2233445573,clave073,Postulante,73
74,2233445574,clave074,Postulante,74
75,2233445575,clave075,Postulante,75
76,2233445576,clave076,Postulante,76
77,2233445577,clave077,Postulante,77
78,2233445578,clave078,Postulante,78
79,2233445579,clave079,Postulante,79
80,2233445580,clave080,Postulante,80
81,2233445581,clave081,Postulante,81
82,2233445582,clave082,Postulante,82
83,2233445583,clave083,Postulante,83
84,2233445584,clave084,Postulante,84
85,2233445585,clave085,Postulante,85
86,2233445586,clave086,Postulante,86
87,2233445587,clave087,Postulante,87
88,2233445588,clave088,Postulante,88
89,2233445589,clave089,Postulante,89
90,2233445590,clave090,Postulante,90
91,2233445591,clave091,Postulante,91
92,2233445592,clave092,Postulante,92
93,2233445593,clave093,Postulante,93
94,2233445594,clave094,Postulante,94
95,2233445595,clave095,Postulante,95
96,2233445596,clave096,Postulante,96
97,2233445597,clave097,Postulante,97
98,2233445598,clave098,Postulante,98
99,2233445599,clave099,Postulante,99
100,2233445600,clave100,Postulante,100
101,2233445601,clave101,Postulante,101
102,2233445602,clave102,Postulante,102
103,2233445603,clave103,Postulante,103
104,2233445604,clave104,Postulante,104
105,2233445605,clave105,Postulante,105
106,2233445606,clave106,Postulante,106
107,2233445607,clave107,Postulante,107
108,2233445608,clave108,Postulante,108
109,2233445609,clave109,Postulante,109
110,2233445610,clave110,Postulante,110
111,2233445611,clave111,Postulante,111
112,2233445612,clave112,Postulante,112
113,2233445613,clave113,Postulante,113
114,2233445614,clave114,Postulante,114
115,2233445615,clave115,Postulante,115
116,2233445616,clave116,Postulante,116
117,2233445617,clave117,Postulante,117
118,2233445618,clave118,Postulante,118
119,2233445619,clave119,Postulante,119
120,2233445620,clave120,Postulante,120
121,2233445621,clave121,Postulante,121
122,2233445622,clave122,Postulante,122
123,2233445623,clave123,Postulante,123
124,2233445624,clave124,Postulante,124
125,2233445625,clave125,Postulante,125
126,2233445626,clave126,Postulante,126
127,2233445627,clave127,Postulante,127
128,2233445628,clave128,Postulante,128
129,2233445629,clave129,Postulante,129
130,2233445630,clave130,Postulante,130
131,2233445631,clave131,Postulante,131
132,2233445632,clave132,Postulante,132
133,2233445633,clave133,Postulante,133
134,2233445634,clave134,Postulante,134
135,2233445635,clave135,Postulante,135
136,2233445636,clave136,Postulante,136
137,2233445637,clave137,Postulante,137
138,2233445638,clave138,Postulante,138
139,2233445639,clave139,Postulante,139
140,2233445640,clave140,Postulante,140
141,2233445641,clave141,Postulante,141
142,2233445642,clave142,Postulante,142
143,2233445643,clave143,Postulante,143
144,2233445644,clave144,Postulante,144
145,2233445645,clave145,Postulante,145
146,2233445646,clave146,Postulante,146
147,2233445647,clave147,Postulante,147
148,2233445648,clave148,Postulante,148
149,2233445649,clave149,Postulante,149
150,2233445650,clave150,Postulante,150
151,2233445651,clave151,Postulante,151
152,2233445652,clave152,Postulante,152
153,2233445653,clave153,Postulante,153
154,2233445654,clave154,Postulante,154
155,2233445655,clave155,Postulante,155
156,2233445656,clave156,Postulante,156
157,2233445657,clave157,Postulante,157
158,2233445658,clave158,Postulante,158
159,2233445659,clave159,Postulante,159
160,2233445660,clave160,Postulante,160
161,2233445661,clave161,Postulante,161
162,2233445662,clave162,Postulante,162
163,2233445663,clave163,Postulante,163
164,2233445664,clave164,Postulante,164
165,2233445665,clave165,Postulante,165
166,2233445666,clave166,Postulante,166
167,2233445667,clave167,Postulante,167
168,2233445668,clave168,Postulante,168
169,2233445669,clave169,Postulante,169
170,2233445670,clave170,Postulante,170
171,2233445671,clave171,Postulante,171
172,2233445672,clave172,Postulante,172
173,2233445673,clave173,Postulante,173
174,2233445674,clave174,Postulante,174
175,2233445675,clave175,Postulante,175
176,2233445676,clave176,Postulante,176
177,2233445677,clave177,Postulante,177
178,2233445678,clave178,Postulante,178
179,2233445679,clave179,Postulante,179
180,2233445680,clave180,Postulante,180
181,2233445681,clave181,Postulante,181
182,2233445682,clave182,Postulante,182
183,2233445683,clave183,Postulante,183
184,2233445684,clave184,Postulante,184
185,2233445685,clave185,Postulante,185
186,2233445686,clave186,Postulante,186
187,2233445687,clave187,Postulante,187
188,2233445688,clave188,Postulante,188
189,2233445689,clave189,Postulante,189
190,2233445690,clave190,Postulante,190
191,2233445691,clave191,Postulante,191
192,2233445692,clave192,Postulante,192
193,2233445693,clave193,Postulante,193
194,2233445694,clave194,Postulante,194
195,2233445695,clave195,Postulante,195
196,2233445696,clave196,Postulante,196
197,2233445697,clave197,Postulante,197
198,2233445698,clave198,Postulante,198
199,2233445699,clave199,Postulante,199
200,2233445700,clave200,Postulante,200
201,2233445701,clave201,Postulante,201
202,2233445702,clave202,Postulante,202
203,2233445703,clave203,Postulante,203
204,2233445704,clave204,Postulante,204
205,2233445705,clave205,Postulante,205
206,2233445706,clave206,Postulante,206
207,2233445707,clave207,Postulante,207
208,2233445708,clave208,Postulante,208
209,2233445709,clave209,Postulante,209
210,2233445710,clave210,Postulante,210
211,2233445711,clave211,Postulante,211
212,2233445712,clave212,Postulante,212
213,2233445713,clave213,Postulante,213
214,2233445714,clave214,Postulante,214
215,2233445715,clave215,Postulante,215
216,2233445716,clave216,Postulante,216
217,2233445717,clave217,Postulante,217
218,2233445718,clave218,Postulante,218
219,2233445719,clave219,Postulante,219
220,2233445720,clave220,Postulante,220
221,2233445721,clave221,Postulante,221
222,2233445722,clave222,Postulante,222
223,2233445723,clave223,Postulante,223
224,2233445724,clave224,Postulante,224
225,2233445725,clave225,Postulante,225
226,2233445726,clave226,Postulante,226
227,2233445727,clave227,Postulante,227
228,2233445728,clave228,Postulante,228
229,2233445729,clave229,Postulante,229
230,2233445730,clave230,Postulante,230
231,2233445731,clave231,Postulante,231
232,2233445732,clave232,Postulante,232
233,2233445733,clave233,Postulante,233
234,2233445734,clave234,Postulante,234
235,2233445735,clave235,Postulante,235
236,2233445736,clave236,Postulante,236
237,2233445737,clave237,Postulante,237
238,2233445738,clave238,Postulante,238
239,2233445739,clave239,Postulante,239
240,2233445740,clave240,Postulante,240
241,2233445741,clave241,Postulante,241
242,2233445742,clave242,Postulante,242
243,2233445743,clave243,Postulante,243
244,2233445744,clave244,Postulante,244
245,2233445745,clave245,Postulante,245
246,2233445746,clave246,Postulante,246
247,2233445747,clave247,Postulante,247
248,2233445748,clave248,Postulante,248
249,2233445749,clave249,Postulante,249
250,2233445750,clave250,Postulante,250
251,2233445751,clave251,Postulante,251
252,2233445752,clave252,Postulante,252
253,2233445753,clave253,Postulante,253
254,2233445754,clave254,Postulante,254
255,2233445755,clave255,Postulante,255
256,2233445756,clave256,Postulante,256
257,2233445757,clave257,Postulante,257
258,2233445758,clave258,Postulante,258
259,2233445759,clave259,Postulante,259
260,2233445760,clave260,Postulante,260
261,2233445761,clave261,Postulante,261
262,2233445762,clave262,Postulante,262
263,2233445763,clave263,Postulante,263
